Rank,Name,Adjusted Salary,Average SWE Salary,Average SWE Salary after tax
77,"Boise, ID","$47,882.00","$82,204.00","$59,438.00"
78,"Omaha, NE","$47,844.24","$80,173.00","$59,001.00"
79,"Reno, NV","$47,822.04","$77,784.00","$61,422.00"
80,"Bakersfield, CA","$47,772.00","$82,879.00","$58,692.00"
81,"Lancaster, PA","$47,754.60","$73,058.00","$55,854.00"
82,"Portland, OR","$47,672.60","$95,273.00","$66,308.00"
83,"Mountain View, CA","$47,582.96","$124,904.00","$85,583.00"
84,"Rochester, NY","$47,572.00","$79,215.00","$58,141.00"
85,"Scranton, PA","$47,435.00","$71,781.00","$54,995.00"
86,"Tampa, FL","$47,391.80","$80,461.00","$63,305.00"
87,"Columbus, OH","$47,260.48","$80,758.00","$61,102.00"
88,"Detroit, MI","$47,216.52","$81,358.00","$60,648.00"
89,"Orlando, FL","$47,148.36","$79,734.00","$62,793.00"
90,"Oklahoma City, OK","$47,098.28","$76,970.00","$57,383.00"
91,"Iowa City, IA","$47,078.32","$77,530.00","$57,205.00"
92,"Irvine, CA","$47,045.16","$100,614.00","$71,154.00"
93,"Columbia, SC","$47,043.00","$78,572.00","$57,672.00"
94,"Ames, IA","$47,014.68","$76,010.00","$56,229.00"
95,"Manchester, NH","$46,989.64","$73,356.00","$58,306.00"
96,"Indianapolis, IN","$46,927.60","$80,744.00","$60,793.00"
97,"Lexington, KY","$46,783.20","$77,595.00","$57,126.00"
98,"Idaho Falls, ID","$46,733.00","$73,459.00","$53,933.00"
99,"Bloomington, IL","$46,726.40","$78,812.00","$58,349.00"
100,"Denver, CO","$46,563.36","$90,451.00","$66,144.00"
101,"Louisville, KY","$46,456.16","$76,127.00","$56,180.00"
102,"Calgary, AB, Canada","$46,118.08","$58,654.75","$57,331.00"
103,"Providence, RI","$46,098.72","$84,489.00","$63,282.00"
104,"Syracuse, NY","$46,027.68","$81,124.00","$59,361.00"
105,"San Francisco, CA","$45,911.00","$126,069.00","$86,291.00"
106,"Kansas City, MO","$45,892.52","$77,675.00","$58,031.00"
107,"Los Angeles, CA","$45,888.24","$100,614.00","$71,154.00"
108,"Hartford, CT","$45,838.00","$82,380.00","$60,163.00"
109,"Nashville, TN","$45,835.40","$81,766.00","$64,223.00"
110,"Reston, VA","$45,833.00","$98,900.00","$71,105.00"
111,"Montgomery, AL","$45,749.96","$79,074.00","$59,150.00"
112,"Cleveland, OH","$45,651.00","$74,072.00","$56,649.00"
113,"Santa Cruz, CA","$45,630.00","$103,112.00","$72,630.00"
114,"Sarasota, FL","$45,526.24","$81,163.00","$63,799.00"
115,"Bozeman, MT","$45,253.00","$77,008.00","$57,253.00"
116,"Fayetteville, AR","$45,226.00","$73,012.00","$54,046.00"
117,"Brooklyn, NY","$45,122.64","$107,197.00","$75,723.00"
118,"Chicago, IL","$45,120.84","$89,818.00","$65,547.00"
119,"Bend, OR","$45,073.00","$82,884.00","$58,723.00"
120,"Canton, OH","$44,946.00","$74,517.00","$56,946.00"
121,"Atlanta, GA","$44,927.16","$86,416.00","$62,799.00"
122,"Milwaukee, WI","$44,772.44","$77,967.00","$57,623.00"
123,"Birmingham, AL","$44,600.64","$74,357.00","$56,016.00"
124,"Lakeland, FL","$44,553.04","$68,302.00","$54,751.00"
125,"Eugene, OR","$44,544.56","$77,194.00","$55,232.00"
126,"Ann Arbor, MI","$44,279.92","$82,176.00","$61,189.00"
127,"Albany, NY","$44,078.56","$75,229.00","$55,594.00"
128,"Miami-Fort Lauderdale, FL","$44,047.24","$84,767.00","$66,334.00"
129,"Charlotte, NC","$44,020.84","$82,834.00","$60,643.00"
130,"Ottawa, ON, Canada","$44,004.12","$56,369.50","$55,377.00"
131,"Amsterdam, NY","$43,976.32","$89,789.00","$64,888.00"
132,"Medford, OR","$43,677.00","$74,145.00","$53,361.00"
133,"Grand Rapids, MI","$43,611.00","$77,277.00","$57,951.00"
134,"Burlington, VT","$43,429.84","$78,128.00","$58,237.00"
135,"Bloomington, IN","$43,410.40","$72,141.00","$55,033.00"
136,"Tulsa, OK","$42,995.00","$70,168.00","$52,955.00"
137,"Washington, DC","$42,402.76","$98,900.00","$69,295.00"
138,"New Orleans, LA","$42,337.48","$80,675.00","$59,074.00"
139,"Charleston, SC","$42,337.08","$81,328.00","$59,418.00"
140,"Boston, MA","$42,258.80","$98,968.00","$71,318.00"
141,"Buffalo, NY","$42,127.36","$72,693.00","$53,974.00"
142,"Green Bay, WI","$41,854.00","$68,458.00","$51,529.00"
143,"Lincoln, NE","$41,833.56","$67,372.00","$50,871.00"
144,"Santa Monica, CA","$40,925.16","$100,614.00","$71,154.00"
145,"Charlottesville, VA","$40,474.04","$74,721.00","$55,574.00"
146,"Salt Lake City, UT","$40,386.20","$72,885.00","$54,473.00"
147,"San Luis Obispo, CA","$39,612.00","$81,971.00","$58,692.00"
148,"Miami, OK","$39,532.24","$83,784.00","$61,819.00"
149,"Minneapolis-St. Paul, MN","$38,625.56","$75,583.00","$55,676.00"
150,"New York City, NY","$38,370.00","$107,197.00","$75,723.00"
151,"Toronto, ON, Canada","$38,357.56","$57,131.25","$56,050.00"
152,"Vancouver, BC, Canada","$38,157.04","$54,846.00","$55,024.00"
153,"Little Rock, AR","$38,015.96","$62,823.00","$47,591.00"
154,"El Paso, TX","$37,868.48","$55,366.00","$45,650.00"
155,"Montreal, QC, Canada","$37,454.24","$50,275.50","$46,526.00"
156,"Norfolk, VA","$37,285.44","$69,536.00","$52,224.00"
157,"York-Hanover, PA","$26,480.00","$84,917.00","$63,833.00"
